month/day	retweet_count	favorite_count	vader compound	vader sentiment
2018-08-04	189241	861498	2.9871	positive
2018-08-05	190334	784198	-1.2637	negative
2018-08-06	163937	636513	2.1473999999999998	positive
2018-08-07	153994	668508	4.740399999999999	positive
2018-08-08	136867	617138	3.2111	positive
2018-08-09	145239	550573	0.39459999999999984	positive
2018-08-10	226036	950651	5.4292	positive
2018-08-11	231669	935832	-2.3155	negative
2018-08-12	98716	378458	1.2200000000000002	positive
2018-08-13	293009	1280676	2.7123999999999997	positive
2018-08-14	224884	913455	-2.6082000000000005	negative
2018-08-15	382714	1513936	11.0743	positive
2018-08-16	351548	1383916	4.121099999999999	positive
2018-08-17	277044	1131299	0.7955999999999998	positive
2018-08-18	281056	1109745	1.0629000000000006	positive
2018-08-19	141275	554043	-3.9217000000000004	negative
2018-08-20	277548	1070274	-0.08709999999999962	negative
2018-08-21	204694	871526	3.0871	positive
2018-08-22	301788	1196777	1.1171000000000002	positive
2018-08-23	115538	504767	1.1258	positive
2018-08-24	341478	1369991	7.491100000000001	positive
2018-08-25	259062	1074167	0.7943999999999999	positive
2018-08-26	114025	479263	1.2351	positive
2018-08-27	181722	770987	6.3336	positive
2018-08-28	314510	1240567	0.7897000000000006	positive
2018-08-29	473131	1744400	0.23969999999999986	positive
2018-08-30	305162	1227944	-0.45940000000000025	negative
2018-08-31	153307	653163	0.41349999999999987	positive
2018-09-01	332590	1319571	-0.3356999999999999	negative
2018-09-02	58936	262778	0.3318	positive
2018-09-03	199430	842187	2.1928	positive
2018-09-04	285335	1102312	-0.4788000000000001	negative
2018-09-05	297934	1174464	-1.1641	negative
2018-09-06	199815	828342	5.8636	positive
2018-09-07	141475	603131	0.8995999999999998	positive
2018-09-08	190856	813660	4.6867	positive
2018-09-09	206825	820812	3.3574	positive
2018-09-10	329613	1268059	0.9879999999999999	positive
2018-09-11	259289	1038844	1.3234	positive
2018-09-12	132593	558985	2.467	positive
2018-09-13	230047	902271	1.1533000000000002	positive
2018-09-14	171120	707588	1.1611	positive
2018-09-15	147588	585586	4.4241	positive
2018-09-16	120033	500013	-0.3086000000000001	negative
2018-09-17	219846	841053	3.8267999999999995	positive
2018-09-18	207178	860095	3.1815999999999995	positive
2018-09-19	163282	708829	2.5975	positive
2018-09-20	239340	994979	8.29	positive
2018-09-21	259259	1064205	1.797	positive
2018-09-22	51889	233936	-0.4767	negative
2018-09-23	52342	284866	2.4365	positive
2018-09-24	162934	673458	6.335699999999999	positive
2018-09-25	212197	893241	5.3589	positive
2018-09-26	142114	586397	1.9775	positive
2018-09-27	84180	320104	0.0772	positive
2018-09-28	40636	177927	0.9501	positive
2018-09-29	137680	522426	1.2589	positive
2018-09-30	118015	499933	1.4878	positive
2018-10-01	135408	620201	3.6554	positive
2018-10-02	202996	904115	8.14	positive
2018-10-03	208395	915296	5.9262	positive
2018-10-04	226939	984452	5.4333	positive
2018-10-05	131430	538651	-0.5851999999999999	negative
2018-10-06	271833	1141769	4.9736	positive
2018-10-07	19807	87311	0.836	positive
2018-10-08	127513	543831	3.0168	positive
2018-10-09	172880	725345	5.080300000000001	positive
2018-10-10	152743	656114	3.5642000000000005	positive
2018-10-11	26833	120689	0.0	neutral
2018-10-12	179714	811272	5.7541	positive
2018-10-13	202375	898676	6.1785000000000005	positive
2018-10-14	91430	426310	3.0416	positive
2018-10-15	149439	660953	-0.07289999999999996	negative
2018-10-16	446555	1772432	1.1237999999999997	positive
2018-10-17	267619	1069218	6.0142	positive
2018-10-18	336285	1245762	3.0798	positive
2018-10-19	198947	756880	2.7214	positive
2018-10-20	209935	782647	4.2376000000000005	positive
2018-10-21	148915	580107	0.11590000000000011	positive
2018-10-22	349657	1312007	0.5046999999999999	positive
2018-10-23	197334	690083	4.3928	positive
2018-10-24	183060	725712	3.5539	positive
2018-10-25	307654	1182881	1.4371	positive
2018-10-26	283280	1073343	4.009600000000001	positive
2018-10-27	267933	1044935	1.2742	positive
2018-10-28	86716	345483	-0.5890000000000001	negative
2018-10-29	428452	1496266	7.546700000000001	positive
2018-10-30	134214	527732	4.73	positive
2018-10-31	375958	1340917	4.523599999999999	positive
2018-11-01	144542	552748	3.3369	positive
2018-11-02	229865	854597	4.477600000000001	positive
2018-11-03	342556	1252467	8.178700000000001	positive
2018-11-04	119426	464169	4.7033000000000005	positive
2018-11-05	331838	1177823	4.1762	positive
2018-11-06	180792	784689	6.527699999999999	positive
2018-11-07	301648	1365827	5.1974	positive
2018-11-08	85850	356305	-0.9054000000000001	negative
2018-11-09	390777	1399341	3.1346999999999996	positive
2018-11-10	170082	785270	-2.066	negative
2018-11-11	106688	483995	1.924	positive
2018-11-12	204702	889399	1.4925999999999997	positive
2018-11-13	311986	1201156	1.7962000000000002	positive
2018-11-14	86865	399784	2.6414	positive
2018-11-15	211001	831450	1.8230000000000013	positive
2018-11-16	162402	707245	4.473	positive
2018-11-17	96922	462717	2.5406	positive
2018-11-18	135170	539495	0.7062	positive
2018-11-19	160590	630098	1.3235000000000001	positive
2018-11-20	65535	307240	0.6124	positive
2018-11-21	274698	1127829	1.6736	positive
2018-11-22	180113	841528	2.0793999999999997	positive
2018-11-23	84847	366600	2.3891999999999998	positive
2018-11-24	72501	311568	0.10299999999999998	positive
2018-11-25	258068	1024490	2.1813000000000002	positive
2018-11-26	184402	728497	2.1084999999999994	positive
2018-11-27	224918	908633	0.13030000000000042	positive
2018-11-28	156602	644875	2.4545	positive
